-2.629,-4.438,-2.315,13.198,1.759,2.170,4.890,1.060,4.680,2.910,7.373,3.682,-21.130,-0.076,0.417,0.216,-0.312,1.878,1.647,0.534,1.322,1.573,0.332,0.140,-0.921,-0.084,-0.045,0.104,0.058,-0.159,-0.194,-0.361,-0.048,-0.401,-0.363,0.133,0.196,0.385,-0.022
-2.371,-5.350,-4.420,12.152,6.315,7.847,7.444,7.178,14.143,4.910,8.331,1.670,-21.672,-0.036,0.967,0.068,-1.254,1.705,0.678,0.151,0.732,0.721,0.544,0.106,-0.770,-0.115,-0.118,0.113,0.176,0.019,-0.541,-0.570,-0.063,-0.530,-0.567,0.119,0.346,0.572,-0.054
-3.140,-1.897,-0.181,12.161,8.872,7.566,6.285,4.610,7.812,3.569,7.595,0.084,-21.278,-0.322,0.663,0.579,-0.638,0.996,0.329,0.487,-0.390,0.182,0.890,1.135,0.929,-0.179,-0.183,0.021,0.257,0.281,-0.618,-0.049,0.137,-0.253,0.084,0.129,0.367,0.670,-0.150
-2.554,-0.875,-3.041,7.447,6.727,2.861,4.949,2.943,6.718,5.298,7.793,1.629,-21.631,-0.544,0.858,0.917,-0.052,-0.387,-0.544,0.244,-0.473,-0.569,0.648,1.371,1.015,-0.305,-0.197,0.065,0.359,0.509,-0.327,0.700,0.393,-0.046,0.292,-0.228,0.074,0.475,-0.186
-4.145,-3.360,-0.108,12.362,6.530,6.307,8.575,1.227,9.302,7.165,13.318,8.348,-22.047,-0.740,0.577,1.074,0.491,-0.165,2.011,1.174,0.657,2.637,0.922,1.344,1.536,-0.738,-0.060,0.333,0.230,0.244,-0.241,0.595,0.245,-0.027,-0.119,-0.650,-0.701,-0.552,-0.136
-4.589,-0.330,0.126,11.790,5.552,5.756,7.519,6.505,10.554,6.354,12.326,2.615,-22.812,-0.813,1.337,1.618,0.726,0.649,3.336,1.772,-0.022,0.956,-0.611,0.370,1.299,-0.764,0.091,0.218,0.169,0.092,-0.247,-0.060,-0.258,-0.411,-0.531,-0.599,-0.970,-0.828,0.030
-5.822,0.714,3.607,12.443,8.633,16.175,10.870,6.116,19.080,7.652,12.052,7.270,-24.380,-0.485,2.090,1.377,0.192,-0.726,1.363,0.948,-0.751,-1.175,-1.731,-1.867,-1.970,-0.630,0.375,-0.091,-0.294,0.011,-0.308,-1.287,-0.914,-0.420,-1.186,-0.421,-0.981,-0.988,0.330
-5.781,3.770,3.190,11.040,8.923,14.604,12.660,0.388,6.607,2.002,10.276,8.661,-24.282,-0.218,1.192,1.608,0.556,-1.340,-0.518,-0.934,-1.824,-1.317,-1.022,-1.871,-1.373,-0.208,0.797,-0.732,-1.031,-0.041,0.013,-1.481,-0.923,0.541,-0.428,-0.016,-0.540,-0.278,0.672
-5.975,5.038,5.246,13.699,1.214,8.699,10.745,0.532,5.398,0.684,5.008,-4.527,-24.463,0.840,0.195,-0.392,0.630,-0.711,-2.495,-2.041,-0.541,-2.159,-0.977,-2.442,-2.069,0.634,0.972,-1.126,-1.734,-0.252,0.897,-1.181,-0.519,1.090,-0.136,-0.327,0.130,0.694,0.952
-5.602,3.468,7.345,13.941,2.563,6.903,2.912,0.175,10.810,4.725,6.492,1.646,-23.808,2.511,-1.374,-2.653,0.301,0.707,-2.139,-1.350,2.580,-0.695,-1.068,-2.043,-0.040,1.963,0.708,-0.962,-1.865,-0.537,1.002,-0.754,0.299,0.951,-0.375,-0.710,0.509,0.498,0.954
